displayName,salary,teamAbbreviation
Katin Houser,8000,ECU
Ethan Vasko,7600,C-C
Joey Aguilar,7500,APPST
Jake Garcia,7500,ECU
Noah Kim,7100,C-C
Cam Fancher,7000,FAU
CJ Campbell Jr.,6600,FAU
Billy Wiles,6500,APPST
Braydon Bennett,6500,C-C
Rahjai Harris,6200,ECU
Jameson Tucker,6100,C-C
Raheim Jeter,6000,ECU
Kasen Weisman,6000,FAU
Chase Sowell,5800,ECU
Zuberi Mobley,5700,FAU
Tyriq Starks,5500,FAU
Ahmani Marshall,5500,APPST
Anthony Smith,5500,ECU
Omari Hayes,5300,FAU
Kaedin Robinson,5200,APPST
Christian Washington,5100,C-C
Kanye Roberts,5000,APPST
Winston Wright Jr.,5000,ECU
Tray Taylor,4900,C-C
Dalton Stroman,4800,APPST
Makai Jackson,4700,APPST
Cameron Estep,4500,APPST
Matthew Wilson,4500,APPST
David Hernandez,4500,APPST
Tad Hudson,4500,C-C
DJ Moore,4500,C-C
Alex Walker,4500,C-C
Bryson Harrison,4500,ECU
John David Black,4500,ECU
Jayden George,4500,FAU
Carson Cruver,4500,FAU
Michael Valentino,4500,FAU
Anderson Castle,4500,APPST
Bryson Graves,4500,C-C
Simeon Price,4300,C-C
Eli Wilson,4300,APPST
Kanen Hamlett,4200,APPST
Gemari Sands,4100,FAU
Christan Horn,4100,APPST
Maquel Haywood,4000,APPST
Tyler Savage,4000,ECU
Yannick Smith,4000,ECU
London Montgomery,3900,ECU
Jabari Smith,3900,FAU
Cameron Wright,3900,C-C
Kerry King,3900,ECU
Ja'Vin Simpkins,3800,C-C
Cane Berrong,3800,C-C
Caleb Coombs,3800,FAU
Javious Bond,3700,ECU
Ayden Burkey,3700,APPST
Casey Kelly,3700,ECU
Darren Lloyd,3600,C-C
Jhari Patterson,3600,ECU
Marlyn Johnson,3600,FAU
Tremonte Underwood Jr.,3500,FAU
Kendall Karr,3500,C-C
Senika McKie,3500,C-C
Wyatt Sullivan,3500,FAU
Milan Tucker,3500,FAU
Jayshon Platt,3500,FAU
Joshua Harriott,3400,FAU
Max Drag,3400,APPST
Luke Hale,3400,APPST
Grant Tucker,3400,APPST
Dominique Henry,3400,FAU
Marlon Gunn Jr.,3300,ECU
David Larkins,3300,APPST
Malick Meiga,3300,C-C
Kahlil Brantley,3300,FAU
EJ Horton,3300,FAU
Desirrio Riles,3300,ECU
Matt Pack Jr.,3200,C-C
Michael Hetzel,3200,APPST
Zeke Moore,3200,FAU
Leon Washington Jr.,3200,FAU
Kaden Shields-Dutton,3100,FAU
William Fowles,3100,APPST
Zach Courtney,3100,C-C
Brock Spalding,3100,ECU
George Johnson III,3100,FAU
Joseph Young,3100,FAU
Jaylon Calhoun,3000,APPST
Michael Dipasquale,3000,APPST
Khamani Alexander,3000,APPST
Max Balthazar,3000,C-C
D'Marius Rucker,3000,C-C
TJ Engleman Jr.,3000,ECU
Michael Beatty,3000,ECU
DaMari Gantt,3000,ECU
Jah'Cire Jones,3000,ECU
Xavier Terrell,3000,FAU
Jared Gibble,3000,APPST
Jack Kelly,3000,APPST
Zavier Short,3000,APPST
Jose Leon,3000,APPST
Franklin Baret Jr.,3000,APPST
Chris Lawson Jr.,3000,APPST
Blake Hoban,3000,APPST
Bryce Gee,3000,APPST
Reece Larson,3000,APPST
Zahn Coakley,3000,APPST
Brooks Johnson,3000,C-C
John Grant III,3000,C-C
Paul Hartman,3000,C-C
Zack Zandier,3000,C-C
Kyre Duplessis,3000,C-C
Jamahdia Whitby,3000,C-C
Andre Jones,3000,C-C
Zachary Coleman,3000,C-C
Xakery Wiedner,3000,C-C
Nathan Schuessler,3000,C-C
Connor Cmiel,3000,C-C
Jalen Harris,3000,C-C
Jayden McClintock,3000,C-C
Jayvontay Conner,3000,ECU
Gage Reale,3000,ECU
Mason Brown,3000,ECU
Nick Slogik,3000,ECU
Kelan Robinson,3000,ECU
McCallum Wright,3000,ECU
Trenton Cloud,3000,ECU
Jyron Waiters,3000,ECU
Malik Leverett,3000,ECU
Alex Moye,3000,ECU
Dillon Lorick,3000,ECU
Bleu Coleman,3000,ECU
Melvin Jacobs,3000,ECU
Ryan Stephens,3000,ECU
Jason Dickerson,3000,ECU
Ty Johnson,3000,ECU
Elijah Brown,3000,FAU
Liam Besecker,3000,FAU
Aliam Appler,3000,FAU
Ja'Kavion Nonar,3000,FAU
Kam Bell,3000,FAU
Jett Coolman,3000,FAU
BJ Alexander,3000,FAU
Devarius Mitchell,3000,FAU
Nicholas Venezia,3000,FAU
