name,pos,team,opp,dk$,proj,adj_proj,roster%,25th%,50th%,75th%,85th%,95th%,99th%,dk_std,adj_proj_ppd,25th_ppd,50th_ppd,75th_ppd,85th_ppd,95th_ppd,99th_ppd
Joe Mixon,RB,HOU,CHI,10200,19.18,19.18,0.443,12.0,17.6,25.0,28.76,36.25,45.0,9.29021,1.88,1.176,1.725,2.451,2.819,3.554,4.412
Nico Collins,WR,HOU,CHI,10000,14.74,14.74,0.321,8.5,13.3,19.56,23.4,30.7,38.7,8.33975,1.474,0.85,1.33,1.956,2.34,3.07,3.87
C.J. Stroud,QB,HOU,CHI,9800,19.6,19.6,0.652,14.1,18.84,24.16,27.64,33.54,40.46,7.57274,2.0,1.438,1.922,2.466,2.82,3.423,4.129
Stefon Diggs,WR,HOU,CHI,9400,12.94,12.94,0.268,7.5,11.7,17.0,20.51,27.6,35.4,7.52791,1.377,0.798,1.245,1.809,2.182,2.936,3.766
DJ Moore,WR,CHI,HOU,9000,13.44,13.44,0.315,7.78,12.1,17.8,21.5,28.3,35.8,7.7161,1.493,0.864,1.344,1.978,2.389,3.144,3.978
Caleb Williams,QB,CHI,HOU,8800,17.15,17.15,0.514,11.7,16.24,21.7,24.92,30.62,37.96,7.39377,1.949,1.33,1.845,2.466,2.832,3.48,4.314
Keenan Allen,WR,CHI,HOU,8400,9.84,9.84,0.144,5.68,8.9,12.9,15.5,21.0,28.2,5.82841,1.171,0.676,1.06,1.536,1.845,2.5,3.357
Tank Dell,WR,HOU,CHI,7400,12.03,12.03,0.322,6.4,10.7,16.3,19.86,26.8,34.8,7.57797,1.626,0.865,1.446,2.203,2.683,3.622,4.703
D'Andre Swift,RB,CHI,HOU,7000,12.05,12.05,0.326,7.2,10.8,15.8,18.9,24.5,32.1,6.52308,1.721,1.029,1.543,2.257,2.7,3.5,4.586
Rome Odunze,WR,CHI,HOU,6400,7.89,7.89,0.144,3.8,6.8,10.85,13.4,18.8,25.9,5.64113,1.233,0.594,1.062,1.695,2.094,2.938,4.047
Dalton Schultz,TE,HOU,CHI,5600,7.28,7.28,0.165,3.3,6.0,10.3,13.0,17.7,24.9,5.51062,1.3,0.589,1.071,1.839,2.321,3.161,4.447
Cole Kmet,TE,CHI,HOU,5000,4.55,4.55,0.055,1.6,3.6,6.4,8.8,12.8,18.0,4.15384,0.91,0.32,0.72,1.28,1.76,2.56,3.6
Ka'imi Fairbairn,K,HOU,CHI,4800,8.3,8.3,0.21,5.0,8.0,11.0,12.0,15.0,19.0,3.98646,1.729,1.042,1.667,2.292,2.5,3.125,3.958
Cairo Santos,K,CHI,HOU,4400,7.57,7.57,0.2,5.0,7.0,10.0,12.0,15.0,19.0,4.03719,1.72,1.136,1.591,2.273,2.727,3.409,4.318
Texans,DST,HOU,CHI,4000,7.7,7.7,0.246,4.0,7.0,11.0,13.0,18.0,24.0,5.59822,1.925,1.0,1.75,2.75,3.25,4.5,6.0
Khalil Herbert,RB,CHI,HOU,3600,5.0,5.0,0.098,2.0,3.9,7.0,9.4,13.1,18.2,4.12375,1.389,0.556,1.083,1.944,2.611,3.639,5.056
Bears,DST,CHI,HOU,3000,5.23,5.23,0.126,2.0,4.0,7.0,9.0,13.0,18.0,3.94753,1.743,0.667,1.333,2.333,3.0,4.333,6.0
Dameon Pierce,RB,HOU,CHI,2800,1.73,1.73,0.01,0.0,0.7,2.22,3.4,7.9,11.2,2.54875,0.618,0.0,0.25,0.795,1.214,2.821,4.0
Gerald Everett,TE,CHI,HOU,2400,4.28,4.28,0.114,1.5,3.3,6.0,8.2,12.3,17.3,4.00979,1.783,0.625,1.375,2.5,3.417,5.125,7.209
DeAndre Carter,WR,CHI,HOU,2000,1.8,1.8,0.025,0.0,0.8,2.5,3.8,7.8,12.1,2.70006,0.9,0.0,0.4,1.25,1.9,3.9,6.05
Brevin Jordan,TE,HOU,CHI,1600,2.43,2.43,0.043,0.0,1.6,3.3,4.9,9.51,13.7,3.21678,1.519,0.0,1.0,2.062,3.062,5.941,8.562
Velus Jones Jr.,WR,CHI,HOU,1200,1.7,1.7,0.031,0.0,0.5,2.4,3.6,7.4,11.5,2.55086,1.417,0.0,0.417,2.0,3.0,6.167,9.585
Travis Homer,RB,CHI,HOU,1000,0.95,0.95,0.011,0.0,0.1,1.3,2.0,4.7,9.0,1.86396,0.95,0.0,0.1,1.3,2.0,4.7,9.0
Robert Woods,WR,HOU,CHI,800,1.13,1.13,0.012,0.0,0.0,1.6,2.5,5.6,10.9,2.23882,1.412,0.0,0.0,2.0,3.125,7.0,13.626
Tyler Scott,WR,CHI,HOU,600,1.68,1.68,0.033,0.0,0.4,2.4,3.6,7.5,11.5,2.54945,2.8,0.0,0.667,4.0,6.0,12.5,19.167
Dare Ogunbowale,RB,HOU,CHI,400,1.0,1.0,0.016,0.0,0.1,1.4,2.1,4.6,9.1,1.9019,2.5,0.0,0.25,3.5,5.25,11.5,22.752
Steven Sims,WR,HOU,CHI,200,1.07,1.07,0.015,0.0,0.0,1.7,2.5,4.8,9.6,1.99843,5.35,0.0,0.0,8.5,12.5,24.0,48.0
John Metchie III,WR,HOU,CHI,200,1.1,1.1,0.02,0.0,0.0,1.7,2.5,5.0,9.9,2.04338,5.5,0.0,0.0,8.5,12.5,25.0,49.5
Roschon Johnson,RB,CHI,HOU,200,0.93,0.93,0.015,0.0,0.0,1.3,2.0,4.4,8.8,1.80975,4.65,0.0,0.0,6.5,10.0,22.0,44.0
Marcedes Lewis,TE,CHI,HOU,200,0.5,0.5,0.006,0.0,0.0,0.0,1.5,2.8,7.5,1.31793,2.5,0.0,0.0,0.0,7.5,14.0,37.5
Khari Blasingame,RB,CHI,HOU,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76715,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Collin Johnson,WR,CHI,HOU,200,0.98,0.98,0.017,0.0,0.0,1.6,2.2,4.3,9.3,1.88978,4.9,0.0,0.0,8.0,11.0,21.525,46.51
Cam Akers,RB,HOU,CHI,200,2.11,2.11,0.041,0.2,1.2,2.8,4.2,8.5,11.7,2.7522,10.55,1.0,6.0,14.0,21.0,42.5,58.505
Cade Stover,TE,HOU,CHI,200,0.89,0.89,0.014,0.0,0.0,1.4,2.0,4.1,10.4,1.99015,4.45,0.0,0.0,7.0,10.0,20.5,52.005
British Brooks,RB,HOU,CHI,200,0.95,0.95,0.012,0.0,0.0,1.3,2.0,4.2,9.0,1.8332,4.75,0.0,0.0,6.5,10.0,21.0,45.0
Xavier Hutchinson,WR,HOU,CHI,200,1.04,1.04,0.016,0.0,0.0,1.6,2.3,4.9,10.5,2.12237,5.2,0.0,0.0,8.0,11.5,24.5,52.5
